,O_m,O_r,O_L,O_k,O_B,b0,h,nvec1,nvec2,nvec3,Chi2
0,0.25,0.04,0.69,0.01,0.01,0.0,0.7,1.0,0.0,0.0,227470461.83778057
1,0.2500004072728347,0.2500004072728347,0.2500004072728347,0.2500004072728347,0.2500004072728347,0.2500004072728347,0.2500004072728347,0.2500004072728347,0.2500004072728347,0.2500004072728347,227468183.006779
2,0.2500004724310458,0.2500004724310458,0.2500004724310458,0.2500004724310458,0.2500004724310458,0.2500004724310458,0.2500004724310458,0.2500004724310458,0.2500004724310458,0.2500004724310458,227468183.006779
3,0.2499999205759063,0.2499999205759063,0.2499999205759063,0.2499999205759063,0.2499999205759063,0.2499999205759063,0.2499999205759063,0.2499999205759063,0.2499999205759063,0.2499999205759063,227467336.47659767
4,0.24999904496486974,0.24999904496486974,0.24999904496486974,0.24999904496486974,0.24999904496486974,0.24999904496486974,0.24999904496486974,0.24999904496486974,0.24999904496486974,0.24999904496486974,227466892.83690536
5,0.2499985011788656,0.2499985011788656,0.2499985011788656,0.2499985011788656,0.2499985011788656,0.2499985011788656,0.2499985011788656,0.2499985011788656,0.2499985011788656,0.2499985011788656,227466892.83690536
6,0.24999863220691468,0.24999863220691468,0.24999863220691468,0.24999863220691468,0.24999863220691468,0.24999863220691468,0.24999863220691468,0.24999863220691468,0.24999863220691468,0.24999863220691468,227466892.83690536
7,0.24999795471900027,0.24999795471900027,0.24999795471900027,0.24999795471900027,0.24999795471900027,0.24999795471900027,0.24999795471900027,0.24999795471900027,0.24999795471900027,0.24999795471900027,227466892.83690536
8,0.2499975959127567,0.2499975959127567,0.2499975959127567,0.2499975959127567,0.2499975959127567,0.2499975959127567,0.2499975959127567,0.2499975959127567,0.2499975959127567,0.2499975959127567,227466892.83690536
9,0.24999764594151733,0.24999764594151733,0.24999764594151733,0.24999764594151733,0.24999764594151733,0.24999764594151733,0.24999764594151733,0.24999764594151733,0.24999764594151733,0.24999764594151733,227466892.83690536
10,0.24999705641988312,0.24999705641988312,0.24999705641988312,0.24999705641988312,0.24999705641988312,0.24999705641988312,0.24999705641988312,0.24999705641988312,0.24999705641988312,0.24999705641988312,227466892.83690536
11,0.24999762864789146,0.24999762864789146,0.24999762864789146,0.24999762864789146,0.24999762864789146,0.24999762864789146,0.24999762864789146,0.24999762864789146,0.24999762864789146,0.24999762864789146,227466892.83690536
12,0.24999820312677568,0.24999820312677568,0.24999820312677568,0.24999820312677568,0.24999820312677568,0.24999820312677568,0.24999820312677568,0.24999820312677568,0.24999820312677568,0.24999820312677568,227466892.83690536
13,0.24999812440351554,0.24999812440351554,0.24999812440351554,0.24999812440351554,0.24999812440351554,0.24999812440351554,0.24999812440351554,0.24999812440351554,0.24999812440351554,0.24999812440351554,227466892.83690536
14,0.2499979095944706,0.2499979095944706,0.2499979095944706,0.2499979095944706,0.2499979095944706,0.2499979095944706,0.2499979095944706,0.2499979095944706,0.2499979095944706,0.2499979095944706,227466892.83690536
15,0.2499978917551929,0.2499978917551929,0.2499978917551929,0.2499978917551929,0.2499978917551929,0.2499978917551929,0.2499978917551929,0.2499978917551929,0.2499978917551929,0.2499978917551929,227466892.83690536
