"redshifts","teval","qoval","psioval"
0.125,-0.11444056620411583,0.12141506048845144,0.12137383512905642
0.15,-0.13503283409814715,0.14483789360986055,0.1447892086923831
0.175,-0.15492729354489568,0.16796749541689313,0.16789392232158762
0.19999999999999998,-0.17416252318907613,0.1908019769201536,0.1907812930402083
0.22499999999999998,-0.19275974184712008,0.21334152020674935,0.21339935274832444
0.24999999999999997,-0.21074419197804117,0.23558582733137287,0.23574979669273488
0.27499999999999997,-0.22814057177267894,0.2575350736763244,0.25783920626064327
0.3,-0.24497128746457272,0.27919008595212746,0.2796562917998794
0.325,-0.2612598647215305,0.3005513928181006,0.30121992999644376
0.35000000000000003,-0.27702660029362536,0.3216205987464284,0.3225209657182686
0.37500000000000006,-0.29229249092718695,0.3423990749900293,0.3435692556380171
0.4000000000000001,-0.30707628320806996,0.3628888279617375,0.36436240964702205
0.4250000000000001,-0.32139494644740807,0.3830923787968777,0.38488607405519415
0.4500000000000001,-0.3352676334806594,0.4030116162529743,0.4051575641543421
0.47500000000000014,-0.3487134995290493,0.42264842839660166,0.4252038946783554
0.5000000000000001,-0.36175034282447716,0.44200503034938643,0.44504829913468735
0.5250000000000001,-0.37438958477938744,0.4610851741433663,0.46465592088210717
0.5500000000000002,-0.38664617079389035,0.47989176247598986,0.48403041405240055
0.5750000000000002,-0.3985357261454153,0.49842753418393815,0.5031882208666787
0.6000000000000002,-0.41007379141073663,0.5166952440000085,0.5221513583407811
0.6250000000000002,-0.42127143590896743,0.534698485796096,0.54091006704498
0.6500000000000002,-0.43213972156177805,0.5524408548324038,0.5594568748406608
0.6750000000000003,-0.44269153961613944,0.5699256030522211,0.577803197558993
0.7000000000000003,-0.45293978131902257,0.5871559823988369,0.5959646781873953
0.7250000000000003,-0.462895761138888,0.6041354265809146,0.6139497460887873
0.7500000000000003,-0.4725675572408707,0.6208677423765627,0.6317458827154536
0.7750000000000004,-0.4819657323583307,0.6373564501517718,0.6493606498095887
0.8000000000000004,-0.49110097889770915,0.6536050553242847,0.6668054867383122
0.8250000000000004,-0.4999835934998212,0.6696170746967417,0.6840923258932936
0.8500000000000004,-0.5086193489510393,0.6853961552084494,0.7012066244696524
0.8750000000000004,-0.5170161442440924,0.7009458826346319,0.7181482755606281
0.9000000000000005,-0.5251829853711084,0.7162698109057194,0.734926232586248
0.9250000000000005,-0.5331288783242158,0.7313714939521422,0.751551675464218
0.9500000000000005,-0.5408628290955428,0.7462544857043305,0.7680380368967101
0.9750000000000005,-0.5483938436772178,0.7609223400927146,0.7844010258147178
1.0000000000000004,-0.5557299878221764,0.7753785204536873,0.8006531868247355
1.0250000000000004,-0.56287308877282,0.7896258890299401,0.816772055908441
1.0500000000000003,-0.5698287363495065,0.8036676705965187,0.8327570716370758
1.0750000000000002,-0.5766035906811879,0.8175071930549682,0.8486151189428222
1.1,-0.5832043118968168,0.8311477843068343,0.8643544431220365
1.125,-0.5896375601253452,0.8445927722536621,0.8799846640769668
1.15,-0.5959099954957255,0.8578454847969972,0.895516789396277
1.1749999999999998,-0.6020272788228033,0.870909030439196,0.910958018972418
1.1999999999999997,-0.6079909841012181,0.8837856204221531,0.9262949775231337
1.2249999999999996,-0.6138056687811664,0.8964781210047634,0.9415300360193541
1.2499999999999996,-0.6194763638903287,0.9089895024197522,0.9566688727722801
1.2749999999999995,-0.6250081004563851,0.9213227348998448,0.9717180552715952
1.2999999999999994,-0.6304059095070162,0.9334807886777668,0.9866850489496204
1.3249999999999993,-0.6356748220699023,0.9454666339862438,1.0015782255050514
1.3499999999999992,-0.6408188320728795,0.9572828893110655,1.0164017617646788
1.3749999999999991,-0.6458392908743771,0.968931276873603,1.0311472488724676
1.399999999999999,-0.650739851458117,0.9804142995236756,1.0458178174317796
1.424999999999999,-0.6555243579565279,0.9917345249418634,1.0604181200481357
1.4499999999999988,-0.6601966545020382,1.0028945208087465,1.0749534097132296
1.4749999999999988,-0.6647605852270766,1.0138968548049052,1.0894295458448968
1.4999999999999987,-0.6692199942640714,1.024744094610919,1.1038530001736013
1.5249999999999986,-0.6735775428213855,1.0354382493376115,1.1182253763661967
1.5499999999999985,-0.6778341536748,1.0459805072182093,1.1325404401783945
1.5749999999999984,-0.6819927316922448,1.0563729924181435,1.1468013020504086
1.5999999999999983,-0.6860562512014221,1.0666178619013404,1.1610118084645997
1.6249999999999982,-0.6900276865300344,1.076717272631726,1.1751762286122338
1.6499999999999981,-0.693910012005784,1.086673381573226,1.189299258823329
1.674999999999998,-0.6977062019563731,1.096488345689766,1.2033860269527261
1.699999999999998,-0.7014192307095043,1.1061643219452728,1.2174420967795132
1.7249999999999979,-0.7050511449188027,1.1157028997262477,1.2314693807051311
1.7499999999999978,-0.7086025078119534,1.1251047608169495,1.2454634145629424
1.7749999999999977,-0.7120753358308842,1.1343714761195034,1.2594262307197206
1.7999999999999976,-0.7154716983813296,1.1435046489407996,1.2733603489946015
1.8249999999999975,-0.7187936648690243,1.152505882587729,1.2872685491293991
1.8499999999999974,-0.7220433046997029,1.1613767803671822,1.3011538739970236
1.8749999999999973,-0.7252222801243461,1.1701186698259078,1.315017404052935
1.8999999999999972,-0.7283318794797522,1.178732625263881,1.3288583168145967
1.9249999999999972,-0.731373857671257,1.1872200369813313,1.3426784781511019
1.949999999999997,-0.7343499741917259,1.1955822983855573,1.3564799752505157
1.974999999999997,-0.7372619885340241,1.2038208028838575,1.370265094375691
1.999999999999997,-0.7401116601910175,1.2119369438835303,1.3840363234261994
2.024999999999997,-0.7429007486555711,1.219932114791875,1.3977963544937426
2.0499999999999967,-0.7456310134205505,1.2278077090161892,1.4115480864237888
2.0749999999999966,-0.7483042139788211,1.2355651199637723,1.4252946273968796
